"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-05-02","2021","05","02","","","","","","","","","","","","","","","","","","","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-05-03","2021","05","03","","","","","","","","","","","","","","","","","","","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-05-04","2021","05","04","","","","","","","","","","","","","","","","","","","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-05-05","2021","05","05","","","","","","","","","","","","","","","","","","","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-05-06","2021","05","06","","","","","","","","","","","","","","","","","","","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-05-07","2021","05","07","","","","","","","","","","","","","","","","","","","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-05-08","2021","05","08","","","","","","","","","","","","","","","","","","","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-05-09","2021","05","09","","","","","","","","","","","","","","","","","","","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-05-10","2021","05","10","","","","","","","","","","","","","","","","","","","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-05-11","2021","05","11","","","","","","","","","","","","","","","","","","","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-05-12","2021","05","12","","","","","","","","","","","","","","","","","","","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-05-13","2021","05","13","","","","","","","","","","","","","","","","","","","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-05-14","2021","05","14","","","","","","","","","","","","","","","","","","","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-05-15","2021","05","15","","","","","","","","","","","","","","","","","","","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-05-16","2021","05","16","","","","","","","","","","","","","","","","","","","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-05-17","2021","05","17","","","","","","","","","","","","","","","","","","","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-05-18","2021","05","18","","","","","","","","","","","","","","","","","","","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-05-19","2021","05","19","","","","","","","","","","","","","","","","","","","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-05-20","2021","05","20","","","","","","","","","","","","","","","","","","","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-05-21","2021","05","21","","","","","","","","","","","","","","","","","","","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-05-22","2021","05","22","","","","","","","","","","","","","","","","","","","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-05-23","2021","05","23","","","","","","","","","","","","","","","","","","","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-05-24","2021","05","24","","","","","","","","","","","","","","","","","","","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-05-25","2021","05","25","","","","","","","","","","","","","","","","","","","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-05-26","2021","05","26","","","","","","","","","","","","","","","","","","","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-05-27","2021","05","27","","","","","","","","","","","","","","","","","","","","","","",""
